Karmn tess
J00012+139N 405230221
J00012+139S 405230222
J00026+383 352148603
J00033+046 257503361
J00051+457 ...
J00056+458 439949948
J00067-075 176287658
J00077+603 359251064
J00078+676 407055622
J00079+080 418753540
J00081+479 439967669
J00084+174 357370384
J00088+208 258878447
J00110+052 468869378
J00115+591 452882423
J00118+229 150785249
J00119+330 ...
J00122+304 22527699
J00131+703 461408984
J00132+693 471012615
J00133+275 437743529
J00136+806 407574350
J00137+806 407574348
J00154-161 ...
J00156+722 373459942
J00158+135 52005579
J00159-166 12863257
J00162+198E ...
J00162+198W 150899679
J00169+051 293282576
J00169+200 150902869
J00173+291 ...
J00176-086 37746121
J00179+209 150905990
J00182+102 403027164
J00183+440 ...
J00184+440 ...
J00188+278 306123710
J00201-170 406350713
J00204+330 ...
J00207+596 403259994
J00209+176 303206437
J00210+557 403308552
J00218+382 288296487
J00219+492 202327848
J00234+243 437759690
J00234+771 407457205
J00235+771 407457207
J00240+264 437762482
J00244+360 127427727
J00245+300 ...
J00253+228 ...
J00268+701 407210683
J00271+496 202518606
J00279+223 411533111
J00286-066 40082634
J00288+503 202593310
J00315-058 40104085
J00322+544 320506439
J00324+672N 420470817
J00324+672S ...
J00325+074 468360701
J00328-045 212951170
J00333+368 115595346
J00341+253 80437015
J00346+711 397795649
J00357+025 318716242
J00358+526 ...
J00359+104 408516077
J00361+455 191228368
J00374+515 240673402
J00380+169 58796459
J00382+523 240682712
J00385+514 240688842
J00389+306 ...
J00395+149N 245763891
J00395+149S 245763892
J00395+605 428548844
J00409+313 415774112
J00413+558 312150094
J00427+438 191442042
J00428+355 267802440
J00435+284 400021633
J00443+091 293392802
J00443+126 333113604
J00449-152 92226327
J00459+337 267873368
J00463+353 267886221
J00464+506 240777964
J00468+160 333136751
J00484+753 275369977
J00487+270 13829932
J00489+445 191632569
J00490+657 285126716
J00502+086 266011945
J00505+248 ...
J00511+225 435875507
J00514+583 ...
J00515-229 28053247
J00520+205 435876741
J00532+190 436541121
J00538+459 196257181
J00540+691 351697756
J00548+275 13960751
J00566+174 336777483
J00570+450 196293610
J00577+058 344631411
J00580+393 432843953
J01008+669 378981776
J01009-044 ...
J01013+613 256316623
J01019+541 252110114
J01025+716 379084450
J01026+623 256419669
J01032+200 243154339
J01032+316 174326589
J01032+712 379197519
J01033+623 52183206
J01036+408 259103852
J01037+408 471012662
J01041+108 369479745
J01048-181 268633473
J01056+284 ...
J01066+152 384886463
J01069+804 402980664
J01078+128 384888319
J01102-118 284080456
J01114+154 336813693
J01116+120 408254882
J01119+049N 336892484
J01119+049S 336892478
J01125-169 ...
J01133+589 331609888
J01134-229 268717977
J01141+790 435676531
J01147+253 80514634
J01158+470 196815182
J01161+601 54202213
J01178+054 380887434
J01178+286 16956183
J01182-128 439412823
J01198+841 461635002
J01214+243 17003109
J01221+221 411628298
J01227+005 471012687
J01256+097 365074976
J01317+209 126998169
J01324-219 441493794
J01339-176 54003038
J01352-072 29853348
J01369-067 29855342
J01373+610 390171290
J01383+572 453303407
J01384+006 471011291
J01390-179 29928567
J01395+050 262878936
J01402+317 61505365
J01431+210 60922399
